startTime,generation
2024-01-07 11:30:00+00:00,4648
2024-01-07 12:00:00+00:00,4435
2024-01-07 12:30:00+00:00,4391
2024-01-07 13:00:00+00:00,4437
2024-01-07 13:30:00+00:00,4327
2024-01-07 14:00:00+00:00,4332
2024-01-07 14:30:00+00:00,4352
2024-01-07 15:00:00+00:00,4325
2024-01-07 15:30:00+00:00,4315
2024-01-07 16:00:00+00:00,4299
2024-01-07 16:30:00+00:00,4305
2024-01-07 17:00:00+00:00,4316
2024-01-07 17:30:00+00:00,4325
2024-01-07 18:00:00+00:00,4324
2024-01-07 18:30:00+00:00,4281
2024-01-07 19:00:00+00:00,4202
2024-01-07 19:30:00+00:00,4169
2024-01-07 20:00:00+00:00,4032
2024-01-07 20:30:00+00:00,4017
2024-01-07 21:00:00+00:00,3992
2024-01-07 21:30:00+00:00,4030
2024-01-07 22:00:00+00:00,3994
2024-01-07 22:30:00+00:00,4100
2024-01-07 23:00:00+00:00,4242
2024-01-07 23:30:00+00:00,4275
2024-01-08 00:00:00+00:00,4629
2024-01-08 00:30:00+00:00,4730
2024-01-08 01:00:00+00:00,5033
2024-01-08 01:30:00+00:00,5215
2024-01-08 02:00:00+00:00,5342
2024-01-08 02:30:00+00:00,6043
2024-01-08 03:00:00+00:00,6274
2024-01-08 03:30:00+00:00,6533
2024-01-08 04:00:00+00:00,6980
2024-01-08 04:30:00+00:00,6945
2024-01-08 05:00:00+00:00,7381
2024-01-08 05:30:00+00:00,7292
2024-01-08 06:00:00+00:00,7472
2024-01-08 06:30:00+00:00,7502
2024-01-08 07:00:00+00:00,7640
2024-01-08 07:30:00+00:00,8031
2024-01-08 08:00:00+00:00,8230
2024-01-08 08:30:00+00:00,8551
2024-01-08 09:00:00+00:00,8833
2024-01-08 09:30:00+00:00,9199
2024-01-08 10:00:00+00:00,9334
2024-01-08 10:30:00+00:00,9545
2024-01-08 11:00:00+00:00,9777
2024-01-08 11:30:00+00:00,9986
2024-01-08 12:00:00+00:00,10111
2024-01-08 12:30:00+00:00,10163
2024-01-08 13:00:00+00:00,10469
2024-01-08 13:30:00+00:00,10499
2024-01-08 14:00:00+00:00,10377
2024-01-08 14:30:00+00:00,10226
2024-01-08 15:00:00+00:00,10317
2024-01-08 15:30:00+00:00,10616
2024-01-08 16:00:00+00:00,10769
2024-01-08 16:30:00+00:00,10783
2024-01-08 17:00:00+00:00,10919
2024-01-08 17:30:00+00:00,11535
2024-01-08 18:00:00+00:00,11362
2024-01-08 18:30:00+00:00,11439
2024-01-08 19:00:00+00:00,11412
2024-01-08 19:30:00+00:00,11371
2024-01-08 20:00:00+00:00,11536
2024-01-08 20:30:00+00:00,11592
2024-01-08 21:00:00+00:00,11660
2024-01-08 21:30:00+00:00,11738
2024-01-08 22:00:00+00:00,11616
2024-01-08 22:30:00+00:00,11782
2024-01-08 23:00:00+00:00,11895
2024-01-08 23:30:00+00:00,11909
2024-01-09 00:00:00+00:00,11819
2024-01-09 00:30:00+00:00,11652
2024-01-09 01:00:00+00:00,11440
2024-01-09 01:30:00+00:00,11277
2024-01-09 02:00:00+00:00,11298
2024-01-09 02:30:00+00:00,11381
2024-01-09 03:00:00+00:00,11356
2024-01-09 03:30:00+00:00,11480
2024-01-09 04:00:00+00:00,11574
2024-01-09 04:30:00+00:00,11558
2024-01-09 05:00:00+00:00,11483
2024-01-09 05:30:00+00:00,11558
2024-01-09 06:00:00+00:00,11659
2024-01-09 06:30:00+00:00,11944
2024-01-09 07:00:00+00:00,12192
2024-01-09 07:30:00+00:00,12320
2024-01-09 08:00:00+00:00,12298
2024-01-09 08:30:00+00:00,12385
2024-01-09 09:00:00+00:00,12411
2024-01-09 09:30:00+00:00,12380
2024-01-09 10:00:00+00:00,12481
2024-01-09 10:30:00+00:00,12374
2024-01-09 11:00:00+00:00,12275
2024-01-09 11:30:00+00:00,12042
2024-01-09 12:00:00+00:00,11866
2024-01-09 12:30:00+00:00,11886
2024-01-09 13:00:00+00:00,11806
2024-01-09 13:30:00+00:00,11550
2024-01-09 14:00:00+00:00,11493
2024-01-09 14:30:00+00:00,11161
2024-01-09 15:00:00+00:00,10939
2024-01-09 15:30:00+00:00,11024
2024-01-09 16:00:00+00:00,11052
2024-01-09 16:30:00+00:00,11000
2024-01-09 17:00:00+00:00,11135
2024-01-09 17:30:00+00:00,11313
2024-01-09 18:00:00+00:00,11240
2024-01-09 18:30:00+00:00,11395
2024-01-09 19:00:00+00:00,11476
2024-01-09 19:30:00+00:00,11504
2024-01-09 20:00:00+00:00,11428
2024-01-09 20:30:00+00:00,11228
2024-01-09 21:00:00+00:00,11128
2024-01-09 21:30:00+00:00,10915
2024-01-09 22:00:00+00:00,11005
2024-01-09 22:30:00+00:00,10866
2024-01-09 23:00:00+00:00,10685
2024-01-09 23:30:00+00:00,10364
2024-01-10 00:00:00+00:00,10003
2024-01-10 00:30:00+00:00,9663
2024-01-10 01:00:00+00:00,9662
2024-01-10 01:30:00+00:00,9498
2024-01-10 02:00:00+00:00,8765
2024-01-10 02:30:00+00:00,8269
2024-01-10 03:00:00+00:00,7933
2024-01-10 03:30:00+00:00,7910
2024-01-10 04:00:00+00:00,7728
2024-01-10 04:30:00+00:00,7581
2024-01-10 05:00:00+00:00,7538
2024-01-10 05:30:00+00:00,7423
2024-01-10 06:00:00+00:00,7277
2024-01-10 06:30:00+00:00,7070
2024-01-10 07:00:00+00:00,6908
2024-01-10 07:30:00+00:00,6740
2024-01-10 08:00:00+00:00,6625
2024-01-10 08:30:00+00:00,6547
2024-01-10 09:00:00+00:00,6420
2024-01-10 09:30:00+00:00,6497
2024-01-10 10:00:00+00:00,6564
2024-01-10 10:30:00+00:00,6734
2024-01-10 11:00:00+00:00,6752
2024-01-10 11:30:00+00:00,6771
2024-01-10 12:00:00+00:00,6774
2024-01-10 12:30:00+00:00,6969
2024-01-10 13:00:00+00:00,7172
2024-01-10 13:30:00+00:00,7338
2024-01-10 14:00:00+00:00,7684
2024-01-10 14:30:00+00:00,7899
2024-01-10 15:00:00+00:00,8027
2024-01-10 15:30:00+00:00,8042
2024-01-10 16:00:00+00:00,6983
2024-01-10 16:30:00+00:00,8777
2024-01-10 17:00:00+00:00,8970
2024-01-10 17:30:00+00:00,9026
2024-01-10 18:00:00+00:00,8944
2024-01-10 18:30:00+00:00,8926
2024-01-10 19:00:00+00:00,8831
2024-01-10 19:30:00+00:00,8987
2024-01-10 20:00:00+00:00,8785
2024-01-10 20:30:00+00:00,8520
2024-01-10 21:00:00+00:00,8234
2024-01-10 21:30:00+00:00,7743
2024-01-10 22:00:00+00:00,6978
2024-01-10 22:30:00+00:00,6800
2024-01-10 23:00:00+00:00,6690
2024-01-10 23:30:00+00:00,6737
2024-01-11 00:00:00+00:00,6538
2024-01-11 00:30:00+00:00,6372
2024-01-11 01:00:00+00:00,6143
2024-01-11 01:30:00+00:00,5994
2024-01-11 02:00:00+00:00,5824
2024-01-11 02:30:00+00:00,5568
2024-01-11 03:00:00+00:00,5469
2024-01-11 03:30:00+00:00,5521
2024-01-11 04:00:00+00:00,5671
2024-01-11 04:30:00+00:00,5683
2024-01-11 05:00:00+00:00,5605
2024-01-11 05:30:00+00:00,6155
2024-01-11 06:00:00+00:00,6036
2024-01-11 06:30:00+00:00,5722
2024-01-11 07:00:00+00:00,5536
2024-01-11 07:30:00+00:00,5279
2024-01-11 08:00:00+00:00,5389
2024-01-11 08:30:00+00:00,5459
2024-01-11 09:00:00+00:00,5450
2024-01-11 09:30:00+00:00,5583
2024-01-11 10:00:00+00:00,5824
2024-01-11 10:30:00+00:00,5858
2024-01-11 11:00:00+00:00,6061
2024-01-11 11:30:00+00:00,6251
2024-01-11 12:00:00+00:00,6457
2024-01-11 12:30:00+00:00,6829
2024-01-11 13:00:00+00:00,7088
2024-01-11 13:30:00+00:00,7224
2024-01-11 14:00:00+00:00,7308
2024-01-11 14:30:00+00:00,7559
2024-01-11 15:00:00+00:00,7604
2024-01-11 15:30:00+00:00,7787
2024-01-11 16:00:00+00:00,7549
2024-01-11 16:30:00+00:00,7418
2024-01-11 17:00:00+00:00,7151
2024-01-11 17:30:00+00:00,7185
2024-01-11 18:00:00+00:00,7094
2024-01-11 18:30:00+00:00,6934
2024-01-11 19:00:00+00:00,6770
2024-01-11 19:30:00+00:00,6551
2024-01-11 20:00:00+00:00,6414
2024-01-11 20:30:00+00:00,6354
2024-01-11 21:00:00+00:00,6324
2024-01-11 21:30:00+00:00,6218
2024-01-11 22:00:00+00:00,6167
2024-01-11 22:30:00+00:00,6057
2024-01-11 23:00:00+00:00,5853
2024-01-11 23:30:00+00:00,5871
2024-01-12 00:00:00+00:00,5886
2024-01-12 00:30:00+00:00,5867
2024-01-12 01:00:00+00:00,6018
2024-01-12 01:30:00+00:00,6355
2024-01-12 02:00:00+00:00,6108
2024-01-12 02:30:00+00:00,5827
2024-01-12 03:00:00+00:00,5292
2024-01-12 03:30:00+00:00,5220
2024-01-12 04:00:00+00:00,4824
2024-01-12 04:30:00+00:00,4783
2024-01-12 05:00:00+00:00,4848
2024-01-12 05:30:00+00:00,4800
2024-01-12 06:00:00+00:00,4510
2024-01-12 06:30:00+00:00,4443
2024-01-12 07:00:00+00:00,4312
2024-01-12 07:30:00+00:00,4039
2024-01-12 08:00:00+00:00,3879
2024-01-12 08:30:00+00:00,3675
2024-01-12 09:00:00+00:00,3499
2024-01-12 09:30:00+00:00,3307
2024-01-12 10:00:00+00:00,3335
2024-01-12 10:30:00+00:00,3202
2024-01-12 11:00:00+00:00,3201
2024-01-12 11:30:00+00:00,3278
2024-01-12 12:00:00+00:00,3318
2024-01-12 12:30:00+00:00,3320
2024-01-12 13:00:00+00:00,3321
